Team,Score,Overs,RPO,Inns,Result,Unnamed: 6,Opposition,Ground,Start Date,Unnamed: 10
U.A.E.,157/5,20.0,7.85,1,won,,v Ireland,Al Amerat,18 Feb 2022,
Ireland,139/9,20.0,6.95,2,lost,,v U.A.E.,Al Amerat,18 Feb 2022,
India,186/5,20.0,9.3,1,won,,v West Indies,Eden Gardens,18 Feb 2022,
West Indies,178/3,20.0,8.9,2,lost,,v India,Eden Gardens,18 Feb 2022,
Nepal,218/3,20.0,10.9,1,won,,v Philippines,Al Amerat,19 Feb 2022,
Philippines,82/8,20.0,4.1,2,lost,,v Nepal,Al Amerat,19 Feb 2022,
Canada,155/6,20.0,7.75,1,lost,,v Oman,Al Amerat,19 Feb 2022,
Oman,159/1,18.0,8.83,2,won,,v Canada,Al Amerat,19 Feb 2022,
Ireland,158/5,20.0,7.9,1,won,,v Bahrain,Al Amerat,19 Feb 2022,
Bahrain,137/5,20.0,6.85,2,lost,,v Ireland,Al Amerat,19 Feb 2022,
U.A.E.,191/5,20.0,9.55,1,won,,v Germany,Al Amerat,19 Feb 2022,
Germany,167/9,20.0,8.35,2,lost,,v U.A.E.,Al Amerat,19 Feb 2022,
Australia,154/6,20.0,7.7,1,lost,,v Sri Lanka,Melbourne,20 Feb 2022,
Sri Lanka,155/5,19.5,7.81,2,won,,v Australia,Melbourne,20 Feb 2022,
India,184/5,20.0,9.2,1,won,,v West Indies,Eden Gardens,20 Feb 2022,
West Indies,167/9,20.0,8.35,2,lost,,v India,Eden Gardens,20 Feb 2022,
Bahrain,172/5,20.0,8.6,1,won,,v U.A.E.,Al Amerat,21 Feb 2022,
U.A.E.,170/6,20.0,8.5,2,lost,,v Bahrain,Al Amerat,21 Feb 2022,
Germany,107/7,20.0,5.35,1,lost,,v Ireland,Al Amerat,21 Feb 2022,
Ireland,111/3,13.1,8.43,2,won,,v Germany,Al Amerat,21 Feb 2022,
Canada,80,15.0,5.33,1,lost,,v Nepal,Al Amerat,21 Feb 2022,
Nepal,81/2,14.1,5.71,2,won,,v Canada,Al Amerat,21 Feb 2022,
Philippines,36,15.2,2.34,1,lost,,v Oman,Al Amerat,21 Feb 2022,
Oman,40/1,2.5,14.11,2,won,,v Philippines,Al Amerat,21 Feb 2022,
Bahrain,191/5,20.0,9.55,1,won,,v Philippines,Al Amerat,22 Feb 2022,
Philippines,100/9,20.0,5.0,2,lost,,v Bahrain,Al Amerat,22 Feb 2022,
Germany,131/6,20.0,6.55,1,lost,,v Canada,Al Amerat,22 Feb 2022,
Canada,132/4,19.3,6.76,2,won,,v Germany,Al Amerat,22 Feb 2022,
U.A.E.,175/7,20.0,8.75,1,won,,v Nepal,Al Amerat,22 Feb 2022,
Nepal,107,18.4,5.73,2,lost,,v U.A.E.,Al Amerat,22 Feb 2022,
Ireland,165/7,20.0,8.25,1,won,,v Oman,Al Amerat,22 Feb 2022,
Oman,109,18.3,5.89,2,lost,,v Ireland,Al Amerat,22 Feb 2022,
Bahrain,131/8,20.0,6.55,1,lost,,v Canada,Al Amerat,24 Feb 2022,
Canada,132/3,14.3,9.1,2,won,,v Bahrain,Al Amerat,24 Feb 2022,
Philippines,109/8,20.0,5.45,1,lost,,v Germany,Al Amerat,24 Feb 2022,
Germany,115/1,12.5,8.96,2,won,,v Philippines,Al Amerat,24 Feb 2022,
Ireland,159,20.0,7.95,1,lost,,v U.A.E.,Al Amerat,24 Feb 2022,
U.A.E.,160/3,18.4,8.57,2,won,,v Ireland,Al Amerat,24 Feb 2022,
Oman,87/9,20.0,4.35,1,lost,,v Nepal,Al Amerat,24 Feb 2022,
Nepal,90/1,16.2,5.51,2,won,,v Oman,Al Amerat,24 Feb 2022,
India,199/2,20.0,9.95,1,won,,v Sri Lanka,Lucknow,24 Feb 2022,
Sri Lanka,137/6,20.0,6.85,2,lost,,v India,Lucknow,24 Feb 2022,
Sri Lanka,183/5,20.0,9.15,1,lost,,v India,Dharamsala,26 Feb 2022,
India,186/3,17.1,10.83,2,won,,v Sri Lanka,Dharamsala,26 Feb 2022,
Sri Lanka,146/5,20.0,7.3,1,lost,,v India,Dharamsala,27 Feb 2022,
India,148/4,16.5,8.79,2,won,,v Sri Lanka,Dharamsala,27 Feb 2022,
Bangladesh,155/8,20.0,7.75,1,won,,v Afghanistan,Mirpur,3 Mar 2022,
Afghanistan,94,17.4,5.32,2,lost,,v Bangladesh,Mirpur,3 Mar 2022,
Bangladesh,115/9,20.0,5.75,1,lost,,v Afghanistan,Mirpur,5 Mar 2022,
Afghanistan,121/2,17.4,6.84,2,won,,v Bangladesh,Mirpur,5 Mar 2022,
Nepal,183/9,20.0,9.15,1,won,,v P.N.G.,Kirtipur,28 Mar 2022,
P.N.G.,168,19.2,8.68,2,lost,,v Nepal,Kirtipur,28 Mar 2022,
Malaysia,180/3,20.0,9.0,1,won,,v P.N.G.,Kirtipur,29 Mar 2022,
P.N.G.,172,19.3,8.82,2,lost,,v Malaysia,Kirtipur,29 Mar 2022,
Malaysia,114/8,20.0,5.7,1,lost,,v Nepal,Kirtipur,30 Mar 2022,
Nepal,117/4,13.4,8.56,2,won,,v Malaysia,Kirtipur,30 Mar 2022,
Nepal,203/7,20.0,10.15,1,won,,v P.N.G.,Kirtipur,31 Mar 2022,
P.N.G.,166,19.4,8.44,2,lost,,v Nepal,Kirtipur,31 Mar 2022,
Malaysia,196/6,20.0,9.8,1,lost,,v P.N.G.,Kirtipur,1 Apr 2022,
P.N.G.,199/2,17.5,11.15,2,won,,v Malaysia,Kirtipur,1 Apr 2022,
Nepal,223/5,20.0,11.15,1,won,,v Malaysia,Kirtipur,2 Apr 2022,
Malaysia,138,19.5,6.95,2,lost,,v Nepal,Kirtipur,2 Apr 2022,
Nepal,168/6,20.0,8.4,1,won,,v P.N.G.,Kirtipur,4 Apr 2022,
P.N.G.,118,16.1,7.29,2,lost,,v Nepal,Kirtipur,4 Apr 2022,
Pakistan,162/8,20.0,8.1,1,lost,,v Australia,Lahore,5 Apr 2022,
Australia,163/7,19.1,8.5,2,won,,v Pakistan,Lahore,5 Apr 2022,
Uganda,127/5,20.0,6.35,1,lost,,v Namibia,Windhoek,8 Apr 2022,
Namibia,128/2,18.4,6.85,2,won,,v Uganda,Windhoek,8 Apr 2022,
Namibia,177/4,20.0,8.85,1,lost,,v Uganda,Windhoek,9 Apr 2022,
Uganda,178/3,19.5,8.97,2,won,,v Namibia,Windhoek,9 Apr 2022,
Namibia,185/7,20.0,9.25,1,won,,v Uganda,Windhoek,10 Apr 2022,
Uganda,133,19.2,6.87,2,lost,,v Namibia,Windhoek,10 Apr 2022,
Bahamas,85/6,20.0,4.25,1,lost,,v Cayman Is,George Town,13 Apr 2022,
Cayman Is,88/2,11.2,7.76,2,won,,v Bahamas,George Town,13 Apr 2022,
Cayman Is,148/6,20.0,7.4,1,won,,v Bahamas,George Town,14 Apr 2022,
Bahamas,133/9,20.0,6.65,2,lost,,v Cayman Is,George Town,14 Apr 2022,
Bahamas,113/4,17.0,6.64,1,lost,,v Cayman Is,George Town,16 Apr 2022,
Cayman Is,119/3,13.2,8.92,2,won,,v Bahamas,George Town,16 Apr 2022,
Cayman Is,166/4,20.0,8.3,1,won,,v Bahamas,George Town,16 Apr 2022,
Bahamas,101,17.1,5.88,2,lost,,v Cayman Is,George Town,16 Apr 2022,
Cayman Is,180/6,20.0,9.0,1,won,,v Bahamas,George Town,17 Apr 2022,
Bahamas,138/7,20.0,6.9,2,lost,,v Cayman Is,George Town,17 Apr 2022,
Norway,137/7,20.0,6.85,1,won,,v Guernsey,Almeria,29 Apr 2022,
Guernsey,100/7,20.0,5.0,2,lost,,v Norway,Almeria,29 Apr 2022,
Spain,129/5,20.0,6.45,1,won,,v Norway,Almeria,30 Apr 2022,
Norway,78/9,20.0,3.9,2,lost,,v Spain,Almeria,30 Apr 2022,
Norway,120/7,20.0,6.0,1,lost,,v Guernsey,Almeria,30 Apr 2022,
Guernsey,126/2,18.0,7.0,2,won,,v Norway,Almeria,30 Apr 2022,
Guernsey,78,18.0,4.33,1,lost,,v Spain,Almeria,30 Apr 2022,
Spain,80/2,12.2,6.48,2,won,,v Guernsey,Almeria,30 Apr 2022,
Spain,107,20.0,5.35,1,lost,,v Guernsey,Almeria,1 May 2022,
Guernsey,111/2,18.0,6.16,2,won,,v Spain,Almeria,1 May 2022,
Spain,125/8,20.0,6.25,1,won,,v Norway,Almeria,1 May 2022,
Norway,84,18.5,4.46,2,lost,,v Spain,Almeria,1 May 2022,
Denmark,137/8,20.0,6.85,1,lost,,v Finland,Brondby,7 May 2022,
Finland,142/7,19.5,7.15,2,won,,v Denmark,Brondby,7 May 2022,
Denmark,170/5,20.0,8.50,1,won,,v Finland,Brondby,7 May 2022,
Finland,33,13.0,2.53,2,lost,,v Denmark,Brondby,7 May 2022,
Denmark,162/4,20.0,8.10,1,won,,v Finland,Brondby,8 May 2022,
Finland,109/8,20.0,5.45,2,lost,,v Denmark,Brondby,8 May 2022,
Gibraltar,132/6,20.0,6.60,1,lost,,v Malta,Marsa,10 May 2022,
Malta,135/5,16.5,8.01,2,won,,v Gibraltar,Marsa,10 May 2022,
Malta,206/7,20.0,10.30,1,won,,v Hungary,Marsa,10 May 2022,
Hungary,161/6,20.0,8.05,2,lost,,v Malta,Marsa,10 May 2022,
Gibraltar,137/8,20.0,6.85,1,lost,,v Hungary,Marsa,10 May 2022,
Hungary,138/6,18.4,7.39,2,won,,v Gibraltar,Marsa,10 May 2022,
Romania,165/4,20.0,8.25,1,lost,,v Malta,Marsa,11 May 2022,
Malta,166/5,19.3,8.51,2,won,,v Romania,Marsa,11 May 2022,
Czech Rep.,184/5,20.0,9.20,1,won,,v Gibraltar,Marsa,11 May 2022,
Gibraltar,144/8,20.0,7.20,2,lost,,v Czech Rep.,Marsa,11 May 2022,
Hungary,158/8,20.0,7.90,1,won,,v Bulgaria,Marsa,11 May 2022,
Bulgaria,153/9,20.0,7.65,2,lost,,v Hungary,Marsa,11 May 2022,
Malta,164/8,20.0,8.20,1,won,,v Czech Rep.,Marsa,12 May 2022,
Czech Rep.,162/9,20.0,8.10,2,lost,,v Malta,Marsa,12 May 2022,
Czech Rep.,258/2,20.0,12.90,1,won,,v Bulgaria,Marsa,12 May 2022,
Bulgaria,170/7,20.0,8.50,2,lost,,v Czech Rep.,Marsa,12 May 2022,
Romania,158/7,20.0,7.90,1,lost,,v Hungary,Marsa,12 May 2022,
Hungary,162/4,17.3,9.25,2,won,,v Romania,Marsa,12 May 2022,
Gibraltar,213/0,20.0,10.65,1,won,,v Bulgaria,Marsa,13 May 2022,
Bulgaria,192/6,20.0,9.60,2,lost,,v Gibraltar,Marsa,13 May 2022,
Romania,193/4,20.0,9.65,1,won,,v Czech Rep.,Marsa,13 May 2022,
Czech Rep.,167/9,20.0,8.35,2,lost,,v Romania,Marsa,13 May 2022,
Bulgaria,131/7,20.0,6.55,1,lost,,v Romania,Marsa,13 May 2022,
Romania,132/2,12.4,10.42,2,won,,v Bulgaria,Marsa,13 May 2022,
Hungary,169/7,20.0,8.45,1,lost,,v Czech Rep.,Marsa,14 May 2022,
Czech Rep.,175/3,18.1,9.63,2,won,,v Hungary,Marsa,14 May 2022,
Gibraltar,141,19.5,7.10,1,lost,,v Romania,Marsa,14 May 2022,
Romania,142/2,11.2,12.52,2,won,,v Gibraltar,Marsa,14 May 2022,
Bulgaria,204/4,20.0,10.20,1,lost,,v Malta,Marsa,14 May 2022,
Malta,205/4,18.2,11.18,2,won,,v Bulgaria,Marsa,14 May 2022,
Gibraltar,170/6,20.0,8.50,1,lost,,v Bulgaria,Marsa,15 May 2022,
Bulgaria,171/5,19.5,8.62,2,won,,v Gibraltar,Marsa,15 May 2022,
Czech Rep.,221/5,20.0,11.05,1,won,,v Hungary,Marsa,15 May 2022,
Hungary,151/6,20.0,7.55,2,lost,,v Czech Rep.,Marsa,15 May 2022,
Romania,171/6,20.0,8.55,1,won,,v Malta,Marsa,15 May 2022,
Malta,162/7,20.0,8.10,2,lost,,v Romania,Marsa,15 May 2022,
Zimbabwe,153/4,20.0,7.65,1,won,,v Namibia,Bulawayo,17 May 2022,
Namibia,146/5,20.0,7.30,2,lost,,v Zimbabwe,Bulawayo,17 May 2022,
Zimbabwe,122/8,20.0,6.10,1,lost,,v Namibia,Bulawayo,19 May 2022,
Namibia,124/2,18.0,6.88,2,won,,v Zimbabwe,Bulawayo,19 May 2022,
Jersey,178/4,20.0,8.90,1,won,,v Guernsey,St Peter Port,20 May 2022,
Guernsey,141/7,20.0,7.05,2,lost,,v Jersey,St Peter Port,20 May 2022,
Jersey,168/6,20.0,8.40,1,won,,v Guernsey,Castel,21 May 2022,
Guernsey,108/8,20.0,5.40,2,lost,,v Jersey,Castel,21 May 2022,
Namibia,128/8,20.0,6.40,1,lost,,v Zimbabwe,Bulawayo,21 May 2022,
Zimbabwe,129/2,17.1,7.51,2,won,,v Namibia,Bulawayo,21 May 2022,
Jersey,185/7,20.0,9.25,1,won,,v Guernsey,Castel,21 May 2022,
Guernsey,148/4,20.0,7.40,2,lost,,v Jersey,Castel,21 May 2022,
Zimbabwe,157/8,20.0,7.85,1,lost,,v Namibia,Bulawayo,22 May 2022,
Namibia,161/4,20.0,8.05,2,won,,v Zimbabwe,Bulawayo,22 May 2022,
Namibia,127/8,20.0,6.35,1,won,,v Zimbabwe,Bulawayo,24 May 2022,
Zimbabwe,95,19.1,4.95,2,lost,,v Namibia,Bulawayo,24 May 2022,
Austria,201/5,20.0,10.05,1,won,,v Hungary,Lower Austria,4 Jun 2022,
Hungary,96,17.3,5.48,2,lost,,v Austria,Lower Austria,4 Jun 2022,
Austria,DNB,0.0,-,0,n/r,,v Hungary,Lower Austria,4 Jun 2022,
Hungary,89,16.0,5.56,1,n/r,,v Austria,Lower Austria,4 Jun 2022,
Austria,196/6,20.0,9.80,1,lost,,v Hungary,Lower Austria,5 Jun 2022,
Hungary,197/6,19.0,10.36,2,won,,v Austria,Lower Austria,5 Jun 2022,
Sri Lanka,128,19.3,6.56,1,lost,,v Australia,Colombo (RPS),7 Jun 2022,
Australia,134/0,14.0,9.57,2,won,,v Sri Lanka,Colombo (RPS),7 Jun 2022,
Sri Lanka,124/9,20.0,6.20,1,lost,,v Australia,Colombo (RPS),8 Jun 2022,
Australia,126/7,17.5,7.06,2,won,,v Sri Lanka,Colombo (RPS),8 Jun 2022,
Germany,135/7,19.0,7.10,1,won,,v Austria,Krefeld,9 Jun 2022,
Austria,81,15.4,5.17,2,lost,,v Germany,Krefeld,9 Jun 2022,
India,211/4,20.0,10.55,1,lost,,v South Africa,Delhi,9 Jun 2022,
South Africa,212/3,19.1,11.06,2,won,,v India,Delhi,9 Jun 2022,
Sweden,93,20.0,4.65,1,lost,,v Germany,Krefeld,9 Jun 2022,
Germany,95/6,17.4,5.37,2,won,,v Sweden,Krefeld,9 Jun 2022,
Austria,141/9,20.0,7.05,1,won,,v Germany,Krefeld,10 Jun 2022,
Germany,103,18.4,5.51,2,lost,,v Austria,Krefeld,10 Jun 2022,
Austria,124/9,20.0,6.20,1,won,,v Sweden,Krefeld,10 Jun 2022,
Sweden,121,19.2,6.25,2,lost,,v Austria,Krefeld,10 Jun 2022,
Belgium,233/6,20.0,11.65,1,won,,v Malta,Gent,11 Jun 2022,
Malta,122/8,20.0,6.10,2,lost,,v Belgium,Gent,11 Jun 2022,
Luxembourg,133/7,20.0,6.65,1,won,,v Switzerland,Walferdange,11 Jun 2022,
Switzerland,115/7,20.0,5.75,2,lost,,v Luxembourg,Walferdange,11 Jun 2022,
Austria,133/7,20.0,6.65,1,won,,v Sweden,Krefeld,11 Jun 2022,
Sweden,132/6,20.0,6.60,2,lost,,v Austria,Krefeld,11 Jun 2022,
Zimbabwe,159/8,20.0,7.95,1,lost,,v Afghanistan,Harare,11 Jun 2022,
Afghanistan,160/4,19.2,8.27,2,won,,v Zimbabwe,Harare,11 Jun 2022,
Belgium,196/5,20.0,9.80,1,won,,v Malta,Gent,11 Jun 2022,
Malta,112,19.5,5.64,2,lost,,v Belgium,Gent,11 Jun 2022,
Switzerland,158/9,20.0,7.90,1,won,,v Luxembourg,Walferdange,11 Jun 2022,
Luxembourg,80,15.1,5.27,2,lost,,v Switzerland,Walferdange,11 Jun 2022,
Australia,176/5,20.0,8.80,1,lost,,v Sri Lanka,Pallekele,11 Jun 2022,
Sri Lanka,177/6,19.5,8.92,2,won,,v Australia,Pallekele,11 Jun 2022,
Germany,151/8,20.0,7.55,1,won,,v Sweden,Krefeld,11 Jun 2022,
Sweden,122/8,20.0,6.10,2,lost,,v Germany,Krefeld,11 Jun 2022,
Belgium,162,20.0,8.10,1,won,,v Malta,Waterloo,12 Jun 2022,
Malta,40,13.3,2.96,2,lost,,v Belgium,Waterloo,12 Jun 2022,
Austria,122/7,20.0,6.10,1,lost,,v Germany,Krefeld,12 Jun 2022,
Germany,125/7,19.4,6.35,2,won,,v Austria,Krefeld,12 Jun 2022,
Afghanistan,170/5,20.0,8.50,1,won,,v Zimbabwe,Harare,12 Jun 2022,
Zimbabwe,149/7,20.0,7.45,2,lost,,v Afghanistan,Harare,12 Jun 2022,
India,148/6,20.0,7.40,1,lost,,v South Africa,Cuttack,12 Jun 2022,
South Africa,149/6,18.2,8.12,2,won,,v India,Cuttack,12 Jun 2022,
Afghanistan,125/8,20.0,6.25,1,won,,v Zimbabwe,Harare,14 Jun 2022,
Zimbabwe,90/9,20.0,4.50,2,lost,,v Afghanistan,Harare,14 Jun 2022,
India,179/5,20.0,8.95,1,won,,v South Africa,Visakhapatnam,14 Jun 2022,
South Africa,131,19.1,6.83,2,lost,,v India,Visakhapatnam,14 Jun 2022,
India,169/6,20.0,8.45,1,won,,v South Africa,Rajkot,17 Jun 2022,
South Africa,87,16.5,5.16,2,lost,,v India,Rajkot,17 Jun 2022,
Finland,139/6,20.0,6.95,1,won,,v Estonia,Kerava,19 Jun 2022,
Estonia,116/4,20.0,5.80,2,lost,,v Finland,Kerava,19 Jun 2022,
Finland,182/7,20.0,9.10,1,won,,v Estonia,Kerava,19 Jun 2022,
Estonia,171/6,20.0,8.55,2,lost,,v Finland,Kerava,19 Jun 2022,
South Africa,DNB,0.0,-,0,n/r,,v India,Bengaluru,19 Jun 2022,
India,28/2,3.3,8.00,1,n/r,,v South Africa,Bengaluru,19 Jun 2022,
Serbia,225/6,20.0,11.25,1,lost,,v Bulgaria,Sofia,24 Jun 2022,
Bulgaria,229/4,19.3,11.74,2,won,,v Serbia,Sofia,24 Jun 2022,
Serbia,194/8,20.0,9.70,1,lost,,v Bulgaria,Sofia,25 Jun 2022,
Bulgaria,199/5,19.0,10.47,2,won,,v Serbia,Sofia,25 Jun 2022,
Serbia,185/4,20.0,9.25,1,lost,,v Bulgaria,Sofia,25 Jun 2022,
Bulgaria,122/1,11.5,10.30,2,won,,v Serbia,Sofia,25 Jun 2022,
Serbia,242/4,20.0,12.10,1,lost,,v Bulgaria,Sofia,26 Jun 2022,
Bulgaria,246/4,19.4,12.50,2,won,,v Serbia,Sofia,26 Jun 2022,
Ireland,108/4,12.0,9.00,1,lost,,v India,Dublin (Malahide),26 Jun 2022,
India,111/3,9.2,11.89,2,won,,v Ireland,Dublin (Malahide),26 Jun 2022,
Gibraltar,139/5,20.0,6.95,1,lost,,v Belgium,Gent,28 Jun 2022,
Belgium,142/3,12.0,11.83,2,won,,v Gibraltar,Gent,28 Jun 2022,
Malta,148/8,20.0,7.40,1,lost,,v Spain,Waterloo,28 Jun 2022,
Spain,150/4,18.4,8.03,2,won,,v Malta,Waterloo,28 Jun 2022,
Malaysia,137/7,20.0,6.85,1,lost,,v Singapore,Singapore,28 Jun 2022,
Singapore,138/6,19.5,6.95,2,won,,v Malaysia,Singapore,28 Jun 2022,
Denmark,190/4,20.0,9.50,1,won,,v Hungary,Gent,28 Jun 2022,
Hungary,102,15.0,6.80,2,lost,,v Denmark,Gent,28 Jun 2022,
Portugal,155/8,20.0,7.75,1,won,,v Israel,Waterloo,28 Jun 2022,
Israel,108/6,20.0,5.40,2,lost,,v Portugal,Waterloo,28 Jun 2022,
India,225/7,20.0,11.25,1,won,,v Ireland,Dublin (Malahide),28 Jun 2022,
Ireland,221/5,20.0,11.05,2,lost,,v India,Dublin (Malahide),28 Jun 2022,
Denmark,256/5,20.0,12.80,1,won,,v Gibraltar,Waterloo,29 Jun 2022,
Gibraltar,124/8,20.0,6.20,2,lost,,v Denmark,Waterloo,29 Jun 2022,
Portugal,154/8,20.0,7.70,1,won,,v Malta,Gent,29 Jun 2022,
Malta,143/8,20.0,7.15,2,lost,,v Portugal,Gent,29 Jun 2022,
Malaysia,177/5,20.0,8.85,1,won,,v Singapore,Singapore,29 Jun 2022,
Singapore,154/6,20.0,7.70,2,lost,,v Malaysia,Singapore,29 Jun 2022,
Hungary,120/9,20.0,6.00,1,lost,,v Belgium,Waterloo,29 Jun 2022,
Belgium,123/8,19.4,6.25,2,won,,v Hungary,Waterloo,29 Jun 2022,
Israel,114/9,20.0,5.70,1,lost,,v Spain,Gent,29 Jun 2022,
Spain,115/3,13.3,8.51,2,won,,v Israel,Gent,29 Jun 2022,
Singapore,122/7,13.0,9.38,1,lost,,v Malaysia,Singapore,30 Jun 2022,
Malaysia,125/5,12.1,10.27,2,won,,v Singapore,Singapore,30 Jun 2022,
Hungary,134/8,20.0,6.70,1,lost,,v Gibraltar,Waterloo,1 Jul 2022,
Gibraltar,135/6,19.4,6.86,2,won,,v Hungary,Waterloo,1 Jul 2022,
Portugal,77,17.2,4.44,1,lost,,v Spain,Gent,1 Jul 2022,
Spain,78/2,9.0,8.66,2,won,,v Portugal,Gent,1 Jul 2022,
Belgium,161/9,20.0,8.05,1,won,,v Denmark,Waterloo,1 Jul 2022,
Denmark,149/9,20.0,7.45,2,lost,,v Belgium,Waterloo,1 Jul 2022,
Malta,136,19.4,6.91,1,won,,v Israel,Gent,1 Jul 2022,
Israel,120/7,20.0,6.00,2,lost,,v Malta,Gent,1 Jul 2022,
Malaysia,213/4,20.0,10.65,1,won,,v Bhutan,Bangi,2 Jul 2022,
Bhutan,58/8,20.0,2.90,2,lost,,v Malaysia,Bangi,2 Jul 2022,
Belgium,113,18.4,6.05,1,lost,,v Portugal,Waterloo,2 Jul 2022,
Portugal,114/2,16.1,7.05,2,won,,v Belgium,Waterloo,2 Jul 2022,
Singapore,168/5,18.0,9.33,1,won,,v P.N.G.,Singapore,2 Jul 2022,
P.N.G.,150/9,18.0,8.33,2,lost,,v Singapore,Singapore,2 Jul 2022,
Denmark,154/7,20.0,7.70,1,won,,v Spain,Waterloo,2 Jul 2022,
Spain,113,16.1,6.98,2,lost,,v Denmark,Waterloo,2 Jul 2022,
West Indies,DNB,0.0,-,0,n/r,,v Bangladesh,Roseau,2 Jul 2022,
Bangladesh,105/8,13.0,8.07,1,n/r,,v West Indies,Roseau,2 Jul 2022,
Thailand,81,19.3,4.15,1,lost,,v Maldives,Bangi,3 Jul 2022,
Maldives,82/3,15.4,5.23,2,won,,v Thailand,Bangi,3 Jul 2022,
Malaysia,112/9,20.0,5.60,1,won,,v Bhutan,Bangi,3 Jul 2022,
Bhutan,73,19.4,3.71,2,lost,,v Malaysia,Bangi,3 Jul 2022,
Israel,166/6,20.0,8.30,1,won,,v Hungary,Waterloo,3 Jul 2022,
Hungary,154/9,20.0,7.70,2,lost,,v Israel,Waterloo,3 Jul 2022,
Singapore,203/7,20.0,10.15,1,lost,,v P.N.G.,Singapore,3 Jul 2022,
P.N.G.,206/7,19.4,10.47,2,won,,v Singapore,Singapore,3 Jul 2022,
Gibraltar,190/8,20.0,9.50,1,lost,,v Malta,Waterloo,3 Jul 2022,
Malta,196/3,16.3,11.87,2,won,,v Gibraltar,Waterloo,3 Jul 2022,
West Indies,193/5,20.0,9.65,1,won,,v Bangladesh,Roseau,3 Jul 2022,
Bangladesh,158/6,20.0,7.90,2,lost,,v West Indies,Roseau,3 Jul 2022,
Thailand,30,13.1,2.27,1,lost,,v Malaysia,Bangi,4 Jul 2022,
Malaysia,34/1,3.5,8.86,2,won,,v Thailand,Bangi,4 Jul 2022,
Bhutan,110/9,20.0,5.50,1,won,,v Maldives,Bangi,4 Jul 2022,
Maldives,104/8,20.0,5.20,2,lost,,v Bhutan,Bangi,4 Jul 2022,
Spain,145/9,20.0,7.25,1,lost,,v Belgium,Waterloo,4 Jul 2022,
Belgium,149/5,20.0,7.45,2,won,,v Spain,Waterloo,4 Jul 2022,
Portugal,110/9,20.0,5.50,1,lost,,v Denmark,Waterloo,4 Jul 2022,
Denmark,111/1,13.1,8.43,2,won,,v Portugal,Waterloo,4 Jul 2022,
Thailand,49/8,11.0,4.45,1,lost,,v Bhutan,Bangi,6 Jul 2022,
Bhutan,50/4,9.4,5.17,2,won,,v Thailand,Bangi,6 Jul 2022,
Maldives,57/8,10.0,5.70,1,lost,,v Malaysia,Bangi,6 Jul 2022,
Malaysia,59/2,4.2,13.61,2,won,,v Maldives,Bangi,6 Jul 2022,
Bhutan,110/7,20.0,5.50,1,won,,v Maldives,Bangi,7 Jul 2022,
Maldives,108,20.0,5.40,2,lost,,v Bhutan,Bangi,7 Jul 2022,
Thailand,73,18.5,3.87,1,lost,,v Malaysia,Bangi,7 Jul 2022,
Malaysia,74/1,8.5,8.37,2,won,,v Thailand,Bangi,7 Jul 2022,
India,198/8,20.0,9.90,1,won,,v England,Southampton,7 Jul 2022,
England,148,19.3,7.58,2,lost,,v India,Southampton,7 Jul 2022,
Bangladesh,163/5,20.0,8.15,1,lost,,v West Indies,Providence,7 Jul 2022,
West Indies,169/5,18.2,9.21,2,won,,v Bangladesh,Providence,7 Jul 2022,
Maldives,97,19.3,4.97,1,won,,v Thailand,Bangi,8 Jul 2022,
Thailand,56,16.5,3.32,2,lost,,v Maldives,Bangi,8 Jul 2022,
Luxembourg,119/5,20.0,5.95,1,lost,,v Austria,Vinor,8 Jul 2022,
Austria,123/5,16.2,7.53,2,won,,v Luxembourg,Vinor,8 Jul 2022,
Luxembourg,112/7,20.0,5.6,1,lost,,v Czech Rep.,Vinor,8 Jul 2022,
Czech Rep.,115/5,16.3,6.96,2,won,,v Luxembourg,Vinor,8 Jul 2022,
Bulgaria,152/9,20.0,7.6,1,lost,,v Serbia,Belgrade,8 Jul 2022,
Serbia,155/3,18.2,8.45,2,won,,v Bulgaria,Belgrade,8 Jul 2022,
Malaysia,230/4,20.0,11.5,1,won,,v Maldives,Bangi,9 Jul 2022,
Maldives,136/6,20.0,6.8,2,lost,,v Malaysia,Bangi,9 Jul 2022,
Bhutan,135/6,20.0,6.75,1,won,,v Thailand,Bangi,9 Jul 2022,
Thailand,107/7,20.0,5.35,2,lost,,v Bhutan,Bangi,9 Jul 2022,
Czech Rep.,182/6,20.0,9.1,1,lost,,v Austria,Vinor,9 Jul 2022,
Austria,183/6,19.4,9.3,2,won,,v Czech Rep.,Vinor,9 Jul 2022,
Bulgaria,154/9,20.0,7.7,1,lost,,v Serbia,Belgrade,9 Jul 2022,
Serbia,157/2,19.3,8.05,2,won,,v Bulgaria,Belgrade,9 Jul 2022,
Austria,115/3,12.1,9.45,1,won,,v Luxembourg,Vinor,9 Jul 2022,
Luxembourg,84/4,10.0,8.4,2,lost,,v Austria,Vinor,9 Jul 2022,
Bulgaria,206/5,20.0,10.3,1,won,,v Serbia,Belgrade,9 Jul 2022,
Serbia,111,18.5,5.89,2,lost,,v Bulgaria,Belgrade,9 Jul 2022,
India,170/8,20.0,8.5,1,won,,v England,Birmingham,9 Jul 2022,
England,121,17.0,7.11,2,lost,,v India,Birmingham,9 Jul 2022,
Czech Rep.,209/6,20.0,10.45,1,won,,v Luxembourg,Vinor,10 Jul 2022,
