Team,Score,Overs,RPO,Inns,Result,Unnamed: 6,Opposition,Ground,Start Date,Unnamed: 10
Norway,123,19.2,6.36,2,lost,,v Sweden,Glostrup,19 May 2023,
Finland,106,19.2,5.48,1,won,,v Sweden,Brondby,20 May 2023,
Sweden,99,19.2,5.12,2,lost,,v Finland,Brondby,20 May 2023,
Finland,102,16.3,6.18,1,lost,,v Norway,Glostrup,20 May 2023,
Norway,106/3,11.5,8.95,2,won,,v Finland,Glostrup,20 May 2023,
Sweden,96,17.4,5.43,1,tied,,v Finland,Glostrup,21 May 2023,
Finland,96/9,20.0,4.80,2,tied,,v Sweden,Glostrup,21 May 2023,
Malawi,155/5,20.0,7.75,1,won,,v Eswatini,Benoni,27 May 2023,
Eswatini,102,15.5,6.44,2,lost,,v Malawi,Benoni,27 May 2023,
Mozambique,61/9,20.0,3.05,1,lost,,v Malawi,Benoni,28 May 2023,
Malawi,62/1,11.1,5.55,2,won,,v Mozambique,Benoni,28 May 2023,
Botswana,205/5,20.0,10.25,1,won,,v Eswatini,Benoni,29 May 2023,
Eswatini,98,19.1,5.11,2,lost,,v Botswana,Benoni,29 May 2023,
Botswana,169/3,20.0,8.45,1,won,,v Malawi,Benoni,30 May 2023,
Malawi,69,19.2,3.56,2,lost,,v Botswana,Benoni,30 May 2023,
Eswatini,127/8,20.0,6.35,1,lost,,v Mozambique,Benoni,30 May 2023,
Mozambique,132/4,20.0,6.60,2,won,,v Eswatini,Benoni,30 May 2023,
Mozambique,89/7,20.0,4.45,1,lost,,v Botswana,Benoni,1 Jun 2023,
Botswana,92/3,13.1,6.98,2,won,,v Mozambique,Benoni,1 Jun 2023,
Rwanda,137/9,20.0,6.85,1,lost,,v Kenya,Nairobi (Gym),9 Jun 2023,
Kenya,139/7,18.3,7.51,2,won,,v Rwanda,Nairobi (Gym),9 Jun 2023,
Botswana,114,19.5,5.74,1,lost,,v Uganda,Nairobi (Gym),9 Jun 2023,
Uganda,115/4,13.0,8.84,2,won,,v Botswana,Nairobi (Gym),9 Jun 2023,
Germany,174/7,20.0,8.70,1,won,,v Belgium,Krefeld,9 Jun 2023,
